product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count
6009510805949,Chutney flavour Potato Chips,25 g,Simba Crisps,US,"Pepsico, Inc",MZ,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,8
6009510805956,Smoked Beef,25 g,Simba Crisps,US,"Pepsico, Inc",MZ,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,6
6009510806168,Salted Potato Chips,105 g,Lay's,US,"Pepsico, Inc",CD,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
6009510806168,Salted Potato Chips,105 g,Lay's,US,"Pepsico, Inc",MZ,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,5
6009510806861,Cola,2.0 L,Pepsi,US,"Pepsico, Inc",CA,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
6009510806861,Cola,2.0 L,Pepsi,US,"Pepsico, Inc",GB,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
6009510806861,Cola,2.0 L,Pepsi,US,"Pepsico, Inc",MZ,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,5
6009512420218,Javel Bleach,1 L,Bamaru,MZ,"MODET - Sociedade Mocambicana de Detergentes, Lda",MZ,https://wastebase.org/#/o/1f53dc4c-bcd7-47ca-88cc-d948749f94f0,,2
6009522300609,Peanut Butter,800 g,Black Cat,ZA,Tiger Brands Ltd,ZA,https://wastebase.org/#/o/7929e20d-5398-4c43-af96-e4e890707131,,2
6009523603235,skin lotion,500 ml,Ingram's,ZA,Tiger Brands Ltd,MW,https://wastebase.org/#/o/7929e20d-5398-4c43-af96-e4e890707131,,2
6009537015758,Shake 'n ship,250ml,ZAMHA,ZM,Zambian Halaal Certifiers,CD,https://wastebase.org/#/o/353536ad-6526-4e7b-a281-de27bfaf2f84,,54
6009537015758,Shake 'n ship,250ml,ZAMHA,ZM,Zambian Halaal Certifiers,MZ,https://wastebase.org/#/o/353536ad-6526-4e7b-a281-de27bfaf2f84,,57
6009537015758,Shake 'n ship,250ml,ZAMHA,ZM,Zambian Halaal Certifiers,ZM,https://wastebase.org/#/o/353536ad-6526-4e7b-a281-de27bfaf2f84,,11
6009537015765,Fruilt Milk,500 ml,Shake n Sip,ZM,Trade Kings Group,CD,https://wastebase.org/#/o/cb94d9c2-2f62-4ad8-ad86-a189701b370c,,9
6009537015765,Fruilt Milk,500 ml,Shake n Sip,ZM,Trade Kings Group,MW,https://wastebase.org/#/o/cb94d9c2-2f62-4ad8-ad86-a189701b370c,,11
6009537015765,Fruilt Milk,500 ml,Shake n Sip,ZM,Trade Kings Group,MZ,https://wastebase.org/#/o/cb94d9c2-2f62-4ad8-ad86-a189701b370c,,20
6009537019435,Milk Maheu,470 ml,Ama Sipsip,ZM,Trade Kings Group,ZM,https://wastebase.org/#/o/cb94d9c2-2f62-4ad8-ad86-a189701b370c,,13
6009601541633,Bleach,750 ml,Orbit,KE,Orbit Products Africa Limited,RW,https://wastebase.org/#/o/844c2ffa-8e9c-4420-8fd5-86a5c2b0efc4,,31
6009601541633,Bleach,750 ml,Orbit,KE,Orbit Products Africa Limited,UG,https://wastebase.org/#/o/844c2ffa-8e9c-4420-8fd5-86a5c2b0efc4,,4
6009602000009,Still Mineral Water,1.5 L,Água de Goba,MZ,"Águas de Goba - Água de Nascente, Limitada",MZ,https://wastebase.org/#/o/33293717-6a4e-4ca8-b1c5-574c87a13f5c,,221
6009602000016,Água de nascente,500 ml,Água de Goba,MZ,"Águas de Goba - Água de Nascente, Limitada",MZ,https://wastebase.org/#/o/33293717-6a4e-4ca8-b1c5-574c87a13f5c,,12
6009602379013,Still Mineral Water,500 ml,stone,ZA,Just Water,MZ,https://wastebase.org/#/o/81f3dd8f-a4e5-4f31-a586-e072eede2e5c,,115
6009603570648,Bolacha Côco,100 g,CIM,UK,UNKNOWN_ORG,MZ,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
6009608440274,Mixed Fruit,500g,JAM,UK,UNKNOWN_ORG,ZM,https://wastebase.org/#/o/00000000-0000-0000-0000-000000000001,,1
6009610390192,Ideal Glycerine,100 ml,Ideal Glycerin,KE,Alison Products Kenya Limited,RW,https://wastebase.org/#/o/6754262b-5b6c-4fd2-bb74-fa3798a498b4,,6
6009612470014,natural spring water,1.5 L,aQuellé,ZA,Aquelle,MZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,1
6009612470014,natural spring water,1.5 L,aQuellé,ZA,Aquelle,SZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,1
6009612470045,Natural still water still,500 ml,aQuellé,ZA,Aquelle,MZ,https://wastebase.org/#/o/61f57f57-efe7-40c6-a777-6ad20799ed51,,1
